GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1996NIG	47884	13/05/2008	2008	5	13	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.75000	6.08333	2	Agence France Presse	Gunmen dressed as military kill two police in Bayelsa State.	2
475	1997NIG	47885	14/05/2008	2008	5	14	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Edo	EsanNort		Uromi	6.70000	6.33333	1	Vanguard (Nigeria)	The factional chairman of the PDP narrowly escapes death from the hand of armed youths.	0
475	1998NIG	47886	21/05/2008	2008	5	21	2	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (International)		7	27	Nigeria	Bayelsa	Sagbama		Niger Delta	4.83333	6.00000	2	AFX Asia	MEND attacks oil facility	0
475	1999NIG	47887	21/05/2008	2008	5	21	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Oyo	Akinyele		Eni	7.53639	3.93528	1	Press Association National Newswire	As the Nigerian Navy attempted to rescue a kidnapped British oil worker the worker was killed in the firefight.	1
475	2000NIG	47888	22/05/2008	2008	5	22	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010)		1	12	Nigeria	Rivers	Asari-To		Rivers	4.75000	6.83333	2	Dow Jones International News	MEND attacks an oil station	0
475	2002NIG	47890	02/06/2008	2008	6	2	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Dow Jones International News	Militants kill a Port Harcourt Policeman and kidnap his wife.	1
475	2001NIG	47889	02/06/2008	2008	6	2	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Dow Jones International News	Militants kill a Port Harcourt Policeman and kidnap his wife.	0
475	2003NIG	47891	04/06/2008	2008	6	4	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Agence France Presse	Gunmen kill two and kidnap a toddler in Port Harcourt.	2
475	2006NIG	47894	11/06/2008	2008	6	11	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Bayelsa	Ekeremor		Clough Creek	4.81667	5.58333	1	Reuters News	Gunmen in boats attack the military as well as civilians in Clough Creek	0
475	2005NIG	47893	11/06/2008	2008	6	11	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Bayelsa	Ekeremor		Clough Creek	4.81667	5.58333	1	Reuters News	Gunmen in boats attack the military as well as civilians in Clough Creek	0
475	2007NIG	47895	11/06/2008	2008	6	11	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Delta	Ndokwa East		Niger Delta	5.32611	6.47083	2	AFX Asia	Gunmen in a boat attack Naval personnel on an oil facility	0
475	2004NIG	47892	11/06/2008	2008	6	11	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Anambra	Anambra East		Asaba	6.18333	6.75000	1	Vanguard (Nigeria)	Police kill three armed robbers in Asaba.	0
475	2008NIG	47896	15/06/2008	2008	6	15	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Akwa Ibom	Eket		Eket	4.65000	7.93333	1	Vanguard (Nigeria)	Unidentified gunmen kill a oil worker in Eket.	1
475	2009NIG	47897	19/06/2008	2008	6	19	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Delta	Warri South		Bonga Off-Shore Oil Platform	4.92314	4.51727	2	Africa Research Bulletin	Members of MEND attack the Bonoga oil platform	0
475	2010NIG	47898	19/06/2008	2008	6	19	1	Battle-No change of territory	MEND: Movement for the Emancipation of the Niger Delta		2	Military Forces of Nigeria (2007-2010) Joint Task Force		1	12	Nigeria	Delta	Ndokwa East		Niger Delta	5.32611	6.47083	2	All Africa	MEND rebels attack offshore oil facility in Niger Delta.	0
475	2011NIG	47899	22/06/2008	2008	6	22	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	MEND: Movement for the Emancipation of the Niger Delta		2	23	Nigeria	Bayelsa	Southern Ijaw		Bayelsa State	4.75000	6.08333	2	Agence France Presse	Clashes between two rival militant gangs are ongoing.	0
